# SPOT, PRICE, DELTA
2.264264264264264170e+01,1.735735735735735830e+01,-1.000000000000000000e+00
2.268268268268268173e+01,1.731731731731731827e+01,-1.000000000000000000e+00
2.272272272272272176e+01,1.727727727727727824e+01,-1.000000000000000000e+00
2.276276276276276178e+01,1.723723723723723822e+01,-1.000000000000000000e+00
2.280280280280280181e+01,1.719719719719719819e+01,-1.000000000000000000e+00
2.284284284284284183e+01,1.715715715715715817e+01,-1.000000000000000000e+00
2.288288288288288186e+01,1.711711711711711814e+01,-1.000000000000000000e+00
2.292292292292292188e+01,1.707707707707707812e+01,-1.000000000000000000e+00
2.296296296296296191e+01,1.703703703703703809e+01,-1.000000000000000000e+00
2.300300300300300194e+01,1.699699699699699806e+01,-1.000000000000000000e+00
2.304304304304304196e+01,1.695695695695695804e+01,-1.000000000000000000e+00
2.308308308308308199e+01,1.691691691691691801e+01,-1.000000000000000000e+00
2.312312312312312201e+01,1.687687687687687799e+01,-1.000000000000000000e+00
2.316316316316316204e+01,1.683683683683683796e+01,-1.000000000000000000e+00
2.320320320320320207e+01,1.679679679679679793e+01,-1.000000000000000000e+00
2.324324324324324209e+01,1.675675675675675791e+01,-1.000000000000000000e+00
2.328328328328328212e+01,1.671671671671671788e+01,-1.000000000000000000e+00
2.332332332332332214e+01,1.667667667667667786e+01,-1.000000000000000000e+00
2.336336336336336217e+01,1.663663663663663783e+01,-1.000000000000000000e+00
2.340340340340340219e+01,1.659659659659659781e+01,-1.000000000000000000e+00
2.344344344344344222e+01,1.655655655655655778e+01,-1.000000000000000000e+00
2.348348348348348225e+01,1.651651651651651775e+01,-1.000000000000000000e+00
2.352352352352352227e+01,1.647647647647647773e+01,-1.000000000000000000e+00
2.356356356356356230e+01,1.643643643643643770e+01,-1.000000000000000000e+00
2.360360360360360232e+01,1.639639639639639768e+01,-1.000000000000000000e+00
2.364364364364364235e+01,1.635635635635635765e+01,-1.000000000000000000e+00
2.368368368368368237e+01,1.631631631631631763e+01,-1.000000000000000000e+00
2.372372372372372240e+01,1.627627627627627760e+01,-1.000000000000000000e+00
2.376376376376376243e+01,1.623623623623623757e+01,-1.000000000000000000e+00
2.380380380380380245e+01,1.619619619619619755e+01,-1.000000000000000000e+00
2.384384384384384248e+01,1.615615615615615752e+01,-1.000000000000000000e+00
2.388388388388388250e+01,1.611611611611611750e+01,-1.000000000000000000e+00
2.392392392392392253e+01,1.607607607607607747e+01,-1.000000000000000000e+00
2.396396396396396256e+01,1.603603603603603744e+01,-1.000000000000000000e+00
2.400400400400400258e+01,1.599599599599599742e+01,-1.000000000000000000e+00
2.404404404404404261e+01,1.595595595595595739e+01,-1.000000000000000000e+00
2.408408408408408263e+01,1.591591591591591737e+01,-1.000000000000000000e+00
2.412412412412412266e+01,1.587587587587587734e+01,-1.000000000000000000e+00
2.416416416416416268e+01,1.583583583583583732e+01,-1.000000000000000000e+00
2.420420420420420271e+01,1.579579579579579729e+01,-1.000000000000000000e+00
2.424424424424424274e+01,1.575575575575575726e+01,-1.000000000000000000e+00
2.428428428428428276e+01,1.571571571571571724e+01,-1.000000000000000000e+00
2.432432432432432279e+01,1.567567567567567721e+01,-1.000000000000000000e+00
2.436436436436436281e+01,1.563563563563563719e+01,-1.000000000000000000e+00
2.440440440440440284e+01,1.559559559559559716e+01,-1.000000000000000000e+00
2.444444444444444287e+01,1.555555555555555713e+01,-1.000000000000000000e+00
2.448448448448448289e+01,1.551551551551551711e+01,-1.000000000000000000e+00
2.452452452452452292e+01,1.547547547547547708e+01,-1.000000000000000000e+00
2.456456456456456294e+01,1.543543543543543706e+01,-1.000000000000000000e+00
2.460460460460460297e+01,1.539539539539539703e+01,-1.000000000000000000e+00
2.464464464464464299e+01,1.535535535535535701e+01,-1.000000000000000000e+00
2.468468468468468302e+01,1.531531531531531698e+01,-1.000000000000000000e+00
2.472472472472472305e+01,1.527527527527527695e+01,-1.000000000000000000e+00
