# SPOT, PAYOFF, DELTA
3.588060138071576688e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.346873831302845659e+01,1.653126168697154341e+01,-1.000000000000000000e+00
2.051435661929947329e+01,1.948564338070052671e+01,-1.000000000000000000e+00
3.871932381987172533e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.389005741008759287e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.495169893396941063e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.162103273373158174e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.803544855914763900e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.290233830205546894e+01,1.709766169794453106e+01,-1.000000000000000000e+00
3.308498530377976721e+01,7.465230686362221313e+00,-9.791918251259200678e-01
4.400632950408229505e+01,5.194307764683623319e+00,-7.499260757624750529e-01
3.322614406978060941e+01,6.928026832422583325e+00,-9.801766072233358829e-01
2.830941528523035799e+01,1.169058471476964201e+01,-1.000000000000000000e+00
3.985017138008420545e+01,7.479163175685698661e+00,-8.011336790484173687e-01
4.908569173336049118e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.638059481637446169e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.124756987635814198e+01,8.752430123641858017e+00,-1.000000000000000000e+00
4.410511543603863061e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.372330583828696149e+01,8.776823681406353828e+00,-9.217647373566991709e-01
3.233356671911097635e+01,7.666433280889023649e+00,-1.000000000000000000e+00
5.690578132284388602e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.242098951906941551e+01,7.579010480930584492e+00,-1.000000000000000000e+00
5.814995133408778827e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.943902679025425329e+01,1.056097320974574671e+01,-1.000000000000000000e+00
4.218820187986266035e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.597533570698843874e+01,6.489127427860116093e+00,-9.187401860522539376e-01
5.097532442510505746e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.617622793760839528e+01,1.382377206239160472e+01,-1.000000000000000000e+00
5.832844138526488109e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.788948402283945427e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.833919574103824601e+01,1.166080425896175399e+01,-1.000000000000000000e+00
4.657703963428239291e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.440493208744592835e+01,1.559506791255407165e+01,-1.000000000000000000e+00
4.188361666966817864e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.492133706694547968e+01,1.507866293305452032e+01,-1.000000000000000000e+00
2.130499217130797618e+01,1.869500782869202382e+01,-1.000000000000000000e+00
3.639809414851167446e+01,7.315662277379398226e+00,-8.766219298367508017e-01
4.651602107218135274e+01,4.035783280472050372e+00,-7.277655242470870700e-01
4.782106485786029282e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.573498612249711215e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.306721418634128895e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.414170998502790866e+01,4.209632421849947015e+00,-6.269126461539107353e-01
4.125631262627283746e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.467424162621482964e+01,1.532575837378517036e+01,-1.000000000000000000e+00
2.682292437158943343e+01,1.317707562841056657e+01,-1.000000000000000000e+00
5.916161438858124200e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.056589352209320509e+01,0.000000000000000000e+00,-0.000000000000000000e+00
1.741145500714323546e+01,2.258854499285676454e+01,-1.000000000000000000e+00
5.793955543456290513e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.525829420444728157e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.578854768959114097e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.733637896229104314e+01,1.266362103770895686e+01,-1.000000000000000000e+00
4.296835980576227598e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.012552104191440350e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.826510731669737453e+01,1.173489268330262547e+01,-1.000000000000000000e+00
2.263625772735401043e+01,1.736374227264598957e+01,-1.000000000000000000e+00
4.557748093832009317e+01,1.813338561386388603e+00,-7.867315622491091176e-01
2.035072749416950089e+01,1.964927250583049911e+01,-1.000000000000000000e+00
3.086533882202743229e+01,9.134661177972567714e+00,-1.000000000000000000e+00
4.051439437691402645e+01,7.574615412421076277e-02,-9.279377309578662469e-01
4.343351548628717040e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.254427938574419699e+01,7.735530748989397409e+00,-9.857424976896883573e-01
5.247246478925994495e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.493275133797451559e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.768143493457050397e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.670366177597097135e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.238470882100309467e+01,1.761529117899690533e+01,-1.000000000000000000e+00
2.177801158255525138e+01,1.822198841744474862e+01,-1.000000000000000000e+00
2.599884038846350975e+01,1.400115961153649025e+01,-1.000000000000000000e+00
2.591118539046554048e+01,1.408881460953445952e+01,-1.000000000000000000e+00
4.103893636612483675e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.592537893751725164e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.863206828709214236e+01,1.136793171290785764e+01,-1.000000000000000000e+00
6.228889319830139470e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.418610468856238782e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.398229852206242185e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.900081453832271450e+01,1.099918546167728550e+01,-1.000000000000000000e+00
3.989554720330039572e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.367880157184904277e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.020950633459078105e+01,1.979049366540921895e+01,-1.000000000000000000e+00
2.439349501603431492e+01,1.560650498396568508e+01,-1.000000000000000000e+00
4.298147991622133191e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.451710229136254782e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.949850922842896495e+01,0.000000000000000000e+00,-0.000000000000000000e+00
1.860924088179489999e+01,2.139075911820510001e+01,-1.000000000000000000e+00
4.805024345449801615e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.447660787471096455e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.005616413038029577e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.585520670969930990e+01,1.414479329030069010e+01,-1.000000000000000000e+00
5.314185805066436785e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.692407424886740586e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.229356907476663707e+01,0.000000000000000000e+00,-0.000000000000000000e+00
6.091868966145581510e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.426882956025123406e+01,1.573117043974876594e+01,-1.000000000000000000e+00
4.782484646797608008e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.962109437991443173e+01,3.713537569694407736e+00,-8.614428847193060790e-01
3.245415325047554944e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.445527714845387379e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.095969879089785337e+01,3.327914658705773299e+00,-6.739181647360575900e-01
3.797722477729327295e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.477984662203230215e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.441382989994658459e+01,0.000000000000000000e+00,-0.000000000000000000e+00
1.770059570671630667e+01,2.229940429328369333e+01,-1.000000000000000000e+00
3.022359243730262079e+01,9.776407562697379205e+00,-1.000000000000000000e+00
3.003540406924436468e+01,9.964595930755635322e+00,-1.000000000000000000e+00
3.016886576611231874e+01,9.831134233887681262e+00,-1.000000000000000000e+00
4.834820438968883849e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.765185861056404804e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.193477649067443735e+01,8.065223509325562645e+00,-1.000000000000000000e+00
4.857922044844540466e+01,0.000000000000000000e+00,-0.000000000000000000e+00
1.632549930154400286e+01,2.367450069845599714e+01,-1.000000000000000000e+00
5.102698021031561382e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.092179702544686393e+01,5.013186485071413401e+00,-6.464637533835536631e-01
2.208406494537840814e+01,1.791593505462159186e+01,-1.000000000000000000e+00
2.473358738265980605e+01,1.526641261734019395e+01,-1.000000000000000000e+00
4.177721272990142865e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.917570373506457315e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.796745553601254386e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.621009851694124393e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.916340816545019976e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.333350704026483413e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.076212905555471266e+01,9.237870944445287336e+00,-1.000000000000000000e+00
2.000567230831427779e+01,1.999432769168572221e+01,-1.000000000000000000e+00
5.584364010437450787e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.712332384862575196e+01,2.195476913866245106e+00,-9.556015127890261640e-01
4.769147956013743084e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.191667402592581126e+01,8.083325974074188736e+00,-1.000000000000000000e+00
6.083830003261547859e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.844733930830341961e+01,1.155266069169658039e+01,-1.000000000000000000e+00
2.154499134524199633e+01,1.845500865475800367e+01,-1.000000000000000000e+00
3.980385625664799676e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.564010340030977630e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.526358415387613121e+01,0.000000000000000000e+00,-0.000000000000000000e+00
1.519631957482776485e+01,2.503238161184014743e+01,-9.788828834243463728e-01
2.690208000166835234e+01,1.309791999833164766e+01,-1.000000000000000000e+00
5.318962105499741000e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.622214052571364817e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.430246889491549922e+01,6.703391006218023307e+00,-9.572991128705704567e-01
1.969700169047647265e+01,2.030299830952352735e+01,-1.000000000000000000e+00
2.119141519834348841e+01,1.880858480165651159e+01,-1.000000000000000000e+00
3.629223164903967813e+01,1.580465212884645254e+00,-9.944308875654462865e-01
5.774926487445240753e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.623663543595319680e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.369025398036690433e+01,8.075266682079265124e+00,-9.421283476408800484e-01
3.569824290393992783e+01,6.492791129549401852e+00,-8.942739279540590225e-01
3.194639918672480761e+01,8.053600813275192394e+00,-1.000000000000000000e+00
2.684958802679732770e+01,1.315041197320267230e+01,-1.000000000000000000e+00
4.306598869143481778e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.876832395647471685e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.212941831331677633e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.984779641546744244e+01,0.000000000000000000e+00,-0.000000000000000000e+00
1.894743383915498569e+01,2.105256616084501431e+01,-1.000000000000000000e+00
3.792505913520718508e+01,6.512709629509138232e+00,-8.412403337081953980e-01
2.648457833244287229e+01,1.351542166755712771e+01,-1.000000000000000000e+00
3.431539414799928522e+01,7.452006036346363160e+00,-9.417898274944199732e-01
4.004342338287360548e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.144724037263887340e+01,4.195665869435935669e+00,-8.181990659152702516e-01
4.665194337811735181e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.931823076613699186e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.579026524172169843e+01,6.449462099716043006e+00,-9.207815382711915797e-01
4.888577713175031647e+01,2.411993426798920981e-01,-7.656497287506642824e-01
4.094978158570194182e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.345289374968631080e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.203277980912535838e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.603808067550868799e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.999872963128997583e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.099178257956687332e+01,0.000000000000000000e+00,-0.000000000000000000e+00
6.145368309872144152e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.253466444857249584e+01,1.746533555142750416e+01,-1.000000000000000000e+00
2.139172297636111608e+01,1.860827702363888392e+01,-1.000000000000000000e+00
2.912485908950688440e+01,1.087514091049311560e+01,-1.000000000000000000e+00
1.682720429613290491e+01,2.317279570386709509e+01,-1.000000000000000000e+00
2.509400137670296971e+01,1.490599862329703029e+01,-1.000000000000000000e+00
3.645754897107003245e+01,6.518543500536645219e+00,-8.700901916900402044e-01
2.955291653198522539e+01,1.044708346801477461e+01,-1.000000000000000000e+00
3.939872969838399541e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.257348404627281013e+01,4.999999330336880599e-01,-7.070214592896372219e-01
4.466992327948121044e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.935041104804106737e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.192200937541034023e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.614671130173837099e+01,1.385328869826162901e+01,-1.000000000000000000e+00
2.134826712623969414e+01,1.865173287376030586e+01,-1.000000000000000000e+00
3.827047829460732942e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.888444477575006175e+01,7.893175957235120777e+00,-8.033917858593297989e-01
5.900090651876031700e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.161211636889147769e+01,8.387883631108522309e+00,-1.000000000000000000e+00
3.813355738080242929e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.197102990709392856e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.277937800181665295e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.606904305033474145e+01,1.393095694966525855e+01,-1.000000000000000000e+00
5.682236098351174292e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.266708624520751414e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.875007220590232748e+01,6.424321882178318788e+00,-8.510992063885939318e-01
3.810952112094889799e+01,6.332776839020761273e+00,-8.678067782626149862e-01
2.175975617892739677e+01,1.824024382107260323e+01,-1.000000000000000000e+00
3.225288903040687671e+01,7.747110969593123286e+00,-1.000000000000000000e+00
4.403261462944972493e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.625972589659761525e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.635664401752008246e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.154661082769842295e+01,8.453389172301577048e+00,-1.000000000000000000e+00
4.120581270352904824e+01,7.272830302538058511e+00,-7.612092230426444894e-01
3.337577946960687569e+01,7.447342656162900809e+00,-9.684433750727755585e-01
3.554799509205827235e+01,5.196057166977538166e+00,-9.258384889186045408e-01
3.496864298464436160e+01,7.271754873153480681e+00,-9.202020127257165560e-01
3.775421682077696062e+01,0.000000000000000000e+00,-0.000000000000000000e+00
1.666739856235307826e+01,2.333260143764692174e+01,-1.000000000000000000e+00
3.849380353808816579e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.366290514537284650e+01,7.366042741938134242e+00,-9.276820958254616833e-01
3.183090245943395757e+01,8.169097540566042426e+00,-1.000000000000000000e+00
4.242133903502084280e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.970060759943363138e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.755274227373296725e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.879194006435397313e+01,6.641398291848199520e+00,-8.445847059446349725e-01
5.283019806006591068e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.017250145754295687e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.136961209944561091e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.797217436317418304e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.494398456207691339e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.737043969924572906e+01,7.476870861943645252e+00,-8.604554171207855484e-01
3.040689982498141575e+01,9.593100175018584252e+00,-1.000000000000000000e+00
2.777389147313359530e+01,1.222610852686640470e+01,-1.000000000000000000e+00
3.509548662231959781e+01,6.888874414514699396e+00,-9.329858873079914794e-01
3.115222457000256640e+01,8.847775429997433605e+00,-1.000000000000000000e+00
3.892808639983039853e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.970306240407433052e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.091510044509445976e+01,1.908489955490554024e+01,-1.000000000000000000e+00
4.992234717080846451e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.802105191402312556e+01,1.197894808597687444e+01,-1.000000000000000000e+00
4.297558574091976880e+01,0.000000000000000000e+00,-0.000000000000000000e+00
1.694216114082676583e+01,2.305783885917323417e+01,-1.000000000000000000e+00
5.203455519739451063e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.747398229300560502e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.846185220388570514e+01,1.153814779611429486e+01,-1.000000000000000000e+00
5.625286755112252024e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.501865369222606716e+01,7.077111914714860674e+00,-9.257467282454587831e-01
4.377470401299174796e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.000956999419356208e+01,9.990430005806437919e+00,-1.000000000000000000e+00
3.995212554737796040e+01,6.193635118025986763e+00,-8.143424028646578661e-01
4.623986679446684178e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.926421658514363600e+01,1.073578341485636400e+01,-1.000000000000000000e+00
3.409093964087293216e+01,7.608321378607818986e+00,-9.420600386608862786e-01
3.778085683122233718e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.184004075975740733e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.284545151083836600e+01,6.709367292422001583e+00,-9.968078297442329871e-01
3.909539059961346652e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.500770259641631554e+01,1.499229740358368446e+01,-1.000000000000000000e+00
3.792549424895926791e+01,6.520390787884683625e+00,-8.563369958303144180e-01
1.932788508588869902e+01,2.067211491411130098e+01,-1.000000000000000000e+00
2.848719878735449385e+01,1.151280121264550615e+01,-1.000000000000000000e+00
5.592157366324870083e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.963414874380715958e+01,1.036585125619284042e+01,-1.000000000000000000e+00
3.541940543913154471e+01,4.861724630645305467e+00,-9.349211472288815328e-01
2.857516905811564811e+01,1.142483094188435189e+01,-1.000000000000000000e+00
4.285020559824555875e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.295374808172784498e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.484418649140025082e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.804050551857928042e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.779107068006925374e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.914372754301087554e+01,1.085627245698912446e+01,-1.000000000000000000e+00
3.097760895042521767e+01,9.022391049574782329e+00,-1.000000000000000000e+00
5.351504206649853757e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.371114862333481454e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.647420008603784680e+01,1.352579991396215320e+01,-1.000000000000000000e+00
3.537685856159079378e+01,0.000000000000000000e+00,-0.000000000000000000e+00
1.844707952209470037e+01,2.155292047790529963e+01,-1.000000000000000000e+00
3.068998496393653141e+01,9.310015036063468585e+00,-1.000000000000000000e+00
3.478522101283268597e+01,7.334468656227391747e+00,-9.232513388900143170e-01
3.346861470825670892e+01,7.168175006275192551e+00,-9.672625928652304195e-01
2.586960672580671172e+01,1.413039327419328828e+01,-1.000000000000000000e+00
5.846806301902027769e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.520161544998502734e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.908385401455447550e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.664874319799527314e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.127364029265031320e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.466493617298142027e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.293328479916296203e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.439337362003615084e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.180322034110730556e+01,6.572138521931814026e+00,-7.585996705200210855e-01
5.046274798004426287e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.102546512601341533e+01,8.974534873986584671e+00,-1.000000000000000000e+00
4.866241422254519478e+01,7.043650868197199877e+00,-6.428903441584630229e-01
3.165917329447654183e+01,8.340826705523458173e+00,-1.000000000000000000e+00
4.257219813604327641e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.726986312324554262e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.383896939462076148e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.312183400722006610e+01,1.687816599277993390e+01,-1.000000000000000000e+00
